,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
249,Cat,Spayed Female,-0.6167295184354205,Domestic Longhair Mix,Black,0
250,Cat,Intact Female,-0.7018606751179883,Domestic Shorthair Mix,Blue,0
251,Dog,Intact Female,3.997934376955515,Chihuahua Shorthair Mix,Tan,0
252,Dog,Intact Female,-0.6463403555424005,Beagle Mix,White/Brown,1
253,Cat,Spayed Female,-0.38632019219673125,Domestic Shorthair Mix,Black,0
254,Cat,Intact Male,-0.7333221895441547,Domestic Shorthair Mix,White,0
255,Dog,Neutered Male,-0.38261883755835874,Miniature Poodle Mix,White/Cream,0
256,Cat,Spayed Female,-0.39464824013306943,Domestic Shorthair,Gray,0
257,Dog,Spayed Female,0.3049077865193363,Collie Smooth/Labrador Retriever,Sable/White,0
258,Dog,Spayed Female,4.530929444881157,Queensland Heeler Mix,Blue Merle,0
259,Dog,Neutered Male,-0.38169349889876564,Staffordshire Mix,Black/White,0
260,Cat,Intact Female,-0.6620711127554838,Domestic Shorthair,Black,0
261,Cat,Intact Male,-0.04024353350890092,Domestic Shorthair,Brown Tabby/White,0
262,Dog,Intact Female,-0.6703991606918219,Labrador Retriever Mix,Black/White,0
263,Dog,Spayed Female,2.9930165926373764,Lhasa Apso Mix,Black,0
264,Cat,Intact Male,-0.7203674483098509,Domestic Shorthair,Orange Tabby,0
265,Dog,Neutered Male,0.28455033600828744,Miniature Poodle Mix,Black/White,0
266,Dog,Neutered Male,2.685804157652458,Jack Russell Terrier Mix,White/Black,0
267,Dog,Neutered Male,3.661111104863616,Chihuahua Shorthair/Yorkshire Terrier,Brown/Black,1
268,Dog,Neutered Male,-0.6167295184354205,Rat Terrier/Dachshund,Black/Tan,0
269,Dog,Neutered Male,0.7416676338472933,Plott Hound Mix,Brown Brindle/White,0
270,Dog,Spayed Female,-0.058750306700763505,Dachshund,Black/Brown,0
271,Dog,Neutered Male,-0.35485867777056485,Labrador Retriever Mix,Brown,0
