,Animal Type,Sex Upon Outcome,Normalized Age,Breed,Color,Outcome
1107,Cat,Neutered Male,-0.6759511926493807,Domestic Shorthair Mix,Brown Tabby,0
1108,Dog,Intact Female,1.297796168262764,Pomeranian Mix,Black,0
1109,Dog,Spayed Female,1.9732933897657483,Chihuahua Shorthair Mix,Cream,0
1110,Dog,Spayed Female,3.12719069827838,Great Pyrenees Mix,White/Tan,0
1111,Dog,Neutered Male,2.314743355155613,Australian Shepherd/Alaskan Malamute,Red/White,0
1112,Dog,Spayed Female,-0.23178863604467867,Labrador Retriever Mix,Black/White,0
1113,Cat,Intact Female,2.3110420005172405,Domestic Shorthair Mix,Orange Tabby,0
1114,Dog,Spayed Female,0.2826996586891012,Beagle Mix,Tricolor,0
1115,Dog,Intact Female,0.617672253461814,Pit Bull Mix,Blue/Brown Brindle,1
1116,Dog,Spayed Female,-0.44554186641069154,Pit Bull Mix,White/Gray,0
1117,Dog,Spayed Female,-0.4483178823894709,Australian Kelpie Mix,Black/White,0
1118,Dog,Neutered Male,0.2864010133274737,Boxer/Anatol Shepherd,Red/White,0
1119,Dog,Spayed Female,0.9739276374051686,Pit Bull Mix,Red,0
1120,Cat,Spayed Female,-0.6009987612223372,Domestic Shorthair,Orange Tabby,0
1121,Cat,Intact Male,-0.685204579245312,Domestic Shorthair Mix,Brown Tabby,0
1122,Cat,Neutered Male,-0.6666978060534494,Domestic Shorthair Mix,Brown Tabby/White,0
1123,Dog,Spayed Female,-0.2142072015124092,Treeing Cur Mix,Tan/Black,0
1124,Dog,Intact Male,-0.05782496804117038,Australian Shepherd Mix,Tricolor,0
1125,Cat,Intact Male,-0.7018606751179883,Domestic Shorthair,Brown Tabby,1
1126,Cat,Intact Male,-0.6981593204796158,Domestic Shorthair,Orange/White,0
1127,Cat,Intact Male,-0.6741005153301944,Domestic Shorthair,Black/White,0
1128,Dog,Spayed Female,0.9609728961708648,Weimaraner Mix,Chocolate,0
1129,Cat,Spayed Female,-0.6222815503929792,Domestic Medium Hair Mix,Blue Tabby/White,0
1130,Cat,Spayed Female,-0.6602204354362975,Domestic Shorthair Mix,Black,0
1131,Dog,Intact Female,-0.5075395566034312,Siberian Husky Mix,Gray/White,0
1132,Dog,Spayed Female,-0.677801869968567,Labrador Retriever Mix,Black/White,0
1133,Dog,Intact Female,0.6195229307810002,German Shepherd Mix,Tan/Black,0
1134,Cat,Neutered Male,-0.4640486396025541,Domestic Shorthair Mix,Black/Black Smoke,0
1135,Dog,Intact Male,-0.39279756281388317,Cardigan Welsh Corgi Mix,Tricolor,0
1136,Cat,Neutered Male,-0.6028494385415235,Domestic Shorthair Mix,Black,0
1137,Cat,Intact Male,-0.7277701575865959,Domestic Shorthair Mix,Brown Tabby/White,0
1138,Cat,Neutered Male,-0.6417136622444349,Domestic Shorthair Mix,Black/White,0
1139,Dog,Neutered Male,-0.6750258539897875,Beagle,Brown/White,0
1140,Dog,Spayed Female,0.09115455615332343,Chihuahua Shorthair Mix,Black/White,0
1141,Cat,Spayed Female,-0.6750258539897875,Domestic Shorthair Mix,Calico,0
1142,Dog,Spayed Female,-0.5538064895830876,Staffordshire Mix,Yellow Brindle/White,0
1143,Cat,Spayed Female,-0.32524784066358475,Domestic Shorthair Mix,Black,0
1144,Dog,Neutered Male,-0.051347597424018475,Chihuahua Shorthair,Tan,0
1145,Dog,Neutered Male,-0.3909468854946969,Miniature Pinscher,Black/Tan,0
1146,Cat,Neutered Male,-0.6676231447130425,Domestic Shorthair Mix,Black,0
1147,Cat,Intact Male,-0.7231434642886303,Domestic Shorthair,Blue,0
1148,Dog,Neutered Male,-0.67872720862816,Labrador Retriever Mix,White/Brown,0
1149,Dog,Spayed Female,-0.1947750896609535,Labrador Retriever Mix,Tricolor,0
1150,Dog,Intact Male,-0.45294457568743657,German Shepherd,Black/Tan,0
1151,Dog,Neutered Male,0.3178625277536401,Pit Bull Mix,Black/White,0
1152,Dog,Intact Male,-0.5889693586476266,Cairn Terrier Mix,Tan,0
1153,Dog,Intact Male,3.432552455944113,Pit Bull Mix,White/Brown,0
1154,Dog,Neutered Male,-0.05412361340279786,Cairn Terrier/Dachshund,Tricolor,0
1155,Cat,Neutered Male,-0.047646242785645956,Domestic Shorthair Mix,White/Blue,0
1156,Dog,Neutered Male,-0.671324499351415,Labrador Retriever Mix,Chocolate/White,0
1157,Dog,Spayed Female,-0.5612091988598327,Chihuahua Shorthair Mix,Brown Brindle,0
1158,Dog,Neutered Male,-0.6611457740958906,Chihuahua Shorthair Mix,Red,0
1159,Dog,Spayed Female,0.9628235734900511,Pit Bull Mix,Tan/White,0
1160,Other,Unknown,-0.3964989174522557,Bat,Black,1
1161,Cat,Spayed Female,0.5158850009065697,Domestic Shorthair Mix,Tortie,0
1162,Dog,Spayed Female,0.6241496240789659,Pit Bull Mix,White/Tan,0
1163,Other,Unknown,-0.3964989174522557,Raccoon Mix,Gray/Black,1
1164,Dog,Intact Male,-0.047646242785645956,Pit Bull Mix,Black Brindle/White,0
1165,Other,Unknown,-0.3964989174522557,Raccoon Mix,Black/Brown,1
1166,Cat,Neutered Male,-0.6796525472877533,Domestic Shorthair,Orange Tabby/White,0
1167,Cat,Neutered Male,-0.6574444194575181,Domestic Shorthair Mix,Black/White,0
1168,Dog,Spayed Female,-0.6574444194575181,Border Collie Mix,Black/White,0
1169,Dog,Spayed Female,1.9760694057445276,Chihuahua Shorthair Mix,Tricolor,0
1170,Dog,Spayed Female,-0.3761414669412068,Dachshund Wirehair Mix,Cream,0
1171,Cat,Unknown,-0.7203674483098509,Domestic Shorthair Mix,Black,0
1172,Dog,Intact Female,1.212665011580196,Pit Bull Mix,Blue/White,1
1173,Other,Intact Female,-0.39464824013306943,Rat,White/Tan,0
1174,Cat,Neutered Male,-0.5908200359668129,Domestic Shorthair,Black/White,0
1175,Dog,Neutered Male,-0.3964989174522557,Siberian Husky Mix,Black/White,0
1176,Dog,Neutered Male,-0.3872455308563244,Labrador Retriever/Pit Bull,Brown/Black,0
1177,Dog,Intact Female,-0.4788540581560442,Golden Retriever Mix,Gold,0
1178,Dog,Neutered Male,1.9612639871910376,Standard Poodle Mix,White,0
1179,Dog,Neutered Male,-0.3761414669412068,Blue Lacy Mix,Blue/White,0
1180,Cat,Intact Male,-0.7203674483098509,Domestic Shorthair Mix,Brown Tabby/White,0
1181,Dog,Neutered Male,1.0942216631522754,Great Pyrenees Mix,White,0
1182,Other,Unknown,-0.563059876179019,Bat Mix,Brown,1
1183,Other,Unknown,-0.5667612308173915,Raccoon,Brown,1
1184,Other,Unknown,-0.3964989174522557,Rabbit Sh Mix,Black/White,0
1185,Dog,Intact Male,-0.05782496804117038,Australian Kelpie Mix,Black/Tan,0
1186,Cat,Spayed Female,-0.030990146912969627,Domestic Medium Hair,Black,0
1187,Cat,Intact Male,-0.7111140617139197,Domestic Shorthair Mix,Brown Tabby/White,0
1188,Dog,Neutered Male,-0.36688808034527554,Chihuahua Shorthair Mix,Tan,0
1189,Dog,Neutered Male,-0.4520192370278434,Tibetan Spaniel Mix,Black/White,0
1190,Dog,Spayed Female,-0.05412361340279786,Shih Tzu Mix,White/Black,0
1191,Dog,Neutered Male,-0.0522729360836116,Manchester Terrier Mix,Black/Tan,0
1192,Cat,Spayed Female,-0.39557357879266253,Domestic Shorthair Mix,Black,0
1193,Dog,Spayed Female,-0.038392856189714664,Pit Bull Mix,Blue/White,0
1194,Other,Intact Female,-0.3964989174522557,Opossum,Gray,1
1195,Other,Unknown,-0.7074127070755472,Bat,Brown/Black,1
1196,Dog,Spayed Female,-0.677801869968567,Chihuahua Shorthair Mix,Brown,0
1197,Dog,Neutered Male,-0.044870226806866566,Labrador Retriever Mix,Tan/White,0
1198,Cat,Spayed Female,0.6185975921214071,Domestic Shorthair Mix,Black/White,0
1199,Other,Intact Female,0.2789983040507287,Raccoon,Black/Gray,1
1200,Dog,Spayed Female,-0.6222815503929792,Pointer/Staffordshire,White/Black,0
1201,Cat,Intact Male,-0.7203674483098509,Domestic Shorthair,Blue Tabby/White,0
1202,Dog,Spayed Female,-0.49643549268831366,Labrador Retriever/Australian Shepherd,Black/White,0
1203,Cat,Neutered Male,-0.6444896782232143,Domestic Shorthair Mix,Orange Tabby,0
1204,Cat,Intact Male,-0.7018606751179883,Domestic Shorthair Mix,Black,0
1205,Dog,Intact Male,-0.7268448189270028,American Staffordshire Terrier,Fawn/Black,0
1206,Cat,Spayed Female,3.3344665580272412,Domestic Longhair,Black/Black,0
1207,Cat,Intact Male,-0.6981593204796158,Domestic Shorthair,Brown Tabby,0
1208,Dog,Intact Female,-0.4242590772400496,Bull Terrier Mix,White/Brown Brindle,0
1209,Cat,Intact Female,-0.6935326271816502,Domestic Shorthair Mix,Tortie,0
1210,Cat,Intact Female,-0.5093902339226174,Domestic Shorthair Mix,Torbie,0
1211,Dog,Intact Female,-0.39187222415429,Labrador Retriever/Border Collie,Black/White,0
1212,Dog,Neutered Male,-0.4473925437298778,Chihuahua Shorthair Mix,Tan,0
1213,Dog,Spayed Female,-0.6158041797758274,Labrador Retriever Mix,Black/White,0
1214,Dog,Intact Female,-0.5639852148386121,Collie Smooth Mix,Brown/Tan,0
1215,Dog,Spayed Female,-0.24011668398101685,Vizsla Mix,Red/White,0
1216,Dog,Neutered Male,2.124123591279428,Pit Bull/Mastiff,Brown/White,1
1217,Dog,Intact Female,1.3033482002203227,Great Dane,Black/White,0
1218,Other,Unknown,-0.5649105534982052,Opossum,White,1
1219,Dog,Neutered Male,-0.051347597424018475,Pit Bull,Brown Brindle/White,0
1220,Cat,Spayed Female,-0.2873089556202664,Domestic Shorthair Mix,Calico,0
1221,Dog,Spayed Female,0.4409325694795263,Australian Cattle Dog Mix,White/Tan,0
1222,Cat,Neutered Male,-0.6722498380110082,Domestic Shorthair Mix,Black,0
1223,Cat,Neutered Male,3.3298398647292755,Domestic Shorthair,Black,0
1224,Dog,Spayed Female,-0.6750258539897875,Labrador Retriever,Black,0
1225,Cat,Intact Male,-0.6195055344141999,Domestic Shorthair,Brown Tabby,0
1226,Dog,Intact Female,0.9711516214263892,Rottweiler Mix,Black/Brown,0
1227,Dog,Neutered Male,-0.38909620817551066,Chihuahua Shorthair/Rat Terrier,Black/Tricolor,0
1228,Dog,Neutered Male,0.06709575100390207,Dogo Argentino Mix,White,0
1229,Dog,Spayed Female,0.29657973858299813,Labrador Retriever Mix,Brown,0
1230,Dog,Intact Male,-0.3881708695159175,Pembroke Welsh Corgi/Australian Shepherd,White/Black,0
1231,Dog,Neutered Male,-0.5889693586476266,Cairn Terrier Mix,Black/Brown,0
1232,Dog,Spayed Female,-0.39187222415429,Chihuahua Shorthair Mix,Tan,0
1233,Cat,Intact Male,-0.713890077692699,Domestic Shorthair Mix,Brown Tabby/White,0
1234,Cat,Intact Male,-0.39279756281388317,Domestic Shorthair,Brown Tabby/White,0
1235,Cat,Spayed Female,-0.0365421788705284,Domestic Shorthair Mix,Blue/White,0
1236,Dog,Spayed Female,-0.3881708695159175,Akita Mix,White/Brown,0
1237,Cat,Intact Male,-0.66392179007467,Domestic Shorthair Mix,Blue/White,1
1238,Cat,Intact Female,-0.7277701575865959,Domestic Shorthair,Brown Tabby,0
1239,Other,Intact Female,-0.39557357879266253,Rat Mix,White,0
1240,Cat,Spayed Female,4.67065558247972,Domestic Shorthair,Brown Tabby/White,0
1241,Dog,Spayed Female,-0.3798428215795793,German Shepherd Mix,Black/Tan,0
1242,Cat,Intact Male,-0.7175914323310715,Domestic Shorthair,Brown Tabby,0
1243,Cat,Neutered Male,-0.04949692010483221,Domestic Shorthair,Orange Tabby,0
1244,Cat,Neutered Male,-0.5797159720516952,Domestic Shorthair Mix,Orange Tabby,0
1245,Cat,Spayed Female,-0.6537430648191456,Domestic Shorthair Mix,White/Black,0
1246,Dog,Spayed Female,0.28455033600828744,Australian Cattle Dog Mix,White/Tricolor,0
1247,Cat,Intact Male,-0.6666978060534494,Domestic Shorthair,Blue,0
1248,Dog,Neutered Male,1.7401080475482795,Australian Cattle Dog Mix,Blue Tick/White,0
1249,Cat,Spayed Female,-0.6741005153301944,Domestic Shorthair Mix,Black,0
1250,Dog,Spayed Female,-0.3835441762179519,Australian Cattle Dog Mix,Black/White,0
1251,Cat,Spayed Female,0.5473465153327361,Domestic Shorthair Mix,Brown Tabby,0
1252,Dog,Spayed Female,-0.6824285632665326,Labrador Retriever Mix,Red/White,0
1253,Dog,Spayed Female,0.7694277936350872,American Staffordshire Terrier,Brown/White,0
1254,Dog,Neutered Male,-0.6805778859473464,Collie Smooth Mix,Brown Brindle,0
1255,Cat,Intact Female,-0.7194421096502578,Domestic Shorthair Mix,Blue,0
1256,Dog,Spayed Female,-0.38909620817551066,Border Collie Mix,Red/Black,0
1257,Cat,Neutered Male,-0.656519080797925,Domestic Shorthair Mix,Brown Tabby,0
1258,Dog,Spayed Female,2.408202559774519,Pit Bull Mix,Blue/White,0
1259,Cat,Spayed Female,-0.6056254545203029,Domestic Shorthair Mix,Black Tabby,0
1260,Cat,Intact Female,-0.47700338083685795,Domestic Shorthair Mix,Brown Tabby,0
1261,Dog,Spayed Female,-0.49736083134790676,Collie Rough/Australian Cattle Dog,White/Brown,0
1262,Dog,Spayed Female,0.19664316334694015,Chihuahua Shorthair Mix,Sable/White,0
1263,Cat,Intact Male,-0.6916819498624639,Domestic Shorthair,Brown Tabby,0
1264,Cat,Intact Female,0.9563462028728992,Domestic Shorthair Mix,Brown Tabby,0
1265,Cat,Intact Female,-0.6963086431604295,Domestic Shorthair Mix,Brown Tabby,1
1266,Dog,Spayed Female,0.7000273941656024,Chihuahua Longhair Mix,Red/Tan,0
1267,Cat,Intact Male,-0.7129647390331059,Domestic Shorthair Mix,Lynx Point,0
1268,Dog,Intact Female,-0.6824285632665326,Bernese Mountain Dog Mix,Tricolor,0
1269,Cat,Neutered Male,0.6185975921214071,Domestic Shorthair Mix,Orange Tabby,0
1270,Dog,Intact Female,0.2826996586891012,Cocker Spaniel Mix,Black,0
1271,Cat,Neutered Male,-0.35115732313219233,Domestic Longhair Mix,Blue Tabby/White,0
1272,Dog,Intact Male,-0.7342475282037478,Beagle/Chihuahua Shorthair,White,0
1273,Dog,Intact Female,-0.45294457568743657,Labrador Retriever Mix,Black/White,0
1274,Dog,Neutered Male,2.3896957865826565,Pug,Fawn/Black,0
1275,Dog,Spayed Female,-0.055048952062390986,Chihuahua Shorthair Mix,Tan,0
1276,Cat,Unknown,-0.7203674483098509,Domestic Shorthair Mix,Orange Tabby,0
1277,Dog,Neutered Male,2.0991394474704137,Doberman Pinsch Mix,Chocolate/Tan,1
1278,Cat,Intact Female,-0.713890077692699,Domestic Shorthair,Gray,0
1279,Dog,Neutered Male,1.851148686699455,Pit Bull Mix,White/Blue,0
1280,Dog,Intact Female,0.6185975921214071,Miniature Poodle Mix,Black,0
1281,Dog,Neutered Male,-0.6694738220322288,Pit Bull Mix,Black/White,0
1282,Cat,Unknown,-0.7277701575865959,Domestic Longhair,White,0
1283,Other,Intact Male,-0.3964989174522557,Squirrel,Gray,1
1284,Dog,Intact Male,0.08652786285535778,Siberian Husky,Black/White,0
1285,Cat,Spayed Female,-0.5612091988598327,Domestic Shorthair,Blue/White,0
1286,Dog,Spayed Female,-0.37429078962202056,Labrador Retriever Mix,Black,0
1287,Cat,Unknown,-0.7305461735653753,Domestic Shorthair Mix,Orange Tabby,0
1288,Dog,Neutered Male,-0.048571581445239084,Chihuahua Shorthair Mix,Tricolor,0
1289,Dog,Spayed Female,-0.5288223457740732,Chihuahua Shorthair Mix,Red/Brown,0
1290,Dog,Spayed Female,0.03841025255651506,Rat Terrier Mix,Black/White,0
1291,Dog,Neutered Male,-0.044870226806866566,Pit Bull Mix,Black,0
1292,Cat,Neutered Male,-0.6546684034787388,Domestic Shorthair Mix,Brown Tabby,0
1293,Dog,Spayed Female,0.9739276374051686,Maltese,White,0
1294,Dog,Neutered Male,0.28177432002950803,Dachshund Mix,Red,0
1295,Cat,Spayed Female,-0.563059876179019,Domestic Medium Hair Mix,Tortie,0
1296,Dog,Neutered Male,-0.26880218242840387,Pit Bull Mix,Blue/White,0
1297,Dog,Neutered Male,0.28455033600828744,Miniature Schnauzer Mix,Black/Gray,0
1298,Cat,Spayed Female,-0.21513254017200234,Domestic Shorthair,White/Black,0
1299,Dog,Neutered Male,1.6383207949930354,Norwich Terrier/Yorkshire Terrier,Blue/Tan,0
1300,Cat,Neutered Male,-0.6398629849252486,Domestic Shorthair,Black,0
1301,Cat,Unknown,-0.7277701575865959,Domestic Shorthair Mix,Tortie,0
1302,Cat,Unknown,-0.7323968508845616,Domestic Shorthair Mix,Brown Tabby,0
1303,Dog,Intact Female,-0.02821413093419024,Catahoula Mix,White/Brown Merle,0
1304,Cat,Spayed Female,-0.0522729360836116,Domestic Shorthair Mix,Calico,0
1305,Dog,Neutered Male,-0.3835441762179519,German Shepherd Mix,Brown,0
1306,Other,Intact Male,-0.4510938983682503,Rat,Black/White,0
1307,Cat,Intact Male,-0.6676231447130425,Domestic Shorthair Mix,Blue Tabby,0
1308,Dog,Neutered Male,-0.6324602756485036,Chihuahua Shorthair/Dachshund,Tan,0
1309,Dog,Intact Male,-0.35023198447259923,Chihuahua Shorthair Mix,Tan/White,1
1310,Dog,Neutered Male,-0.055974290721984114,German Shepherd Mix,Tan/White,0
1311,Cat,Spayed Female,-0.5871186813284403,Domestic Shorthair,Blue Tabby/White,0
1312,Dog,Neutered Male,-0.541777087008377,German Shepherd Mix,Tricolor,0
1313,Dog,Neutered Male,3.1716069539388507,Boxer/Chinese Sharpei,Brown Brindle/Black,0
1314,Dog,Neutered Male,2.3351008056666616,Rat Terrier Mix,Tricolor,0
1315,Cat,Unknown,-0.7296208349057822,Domestic Shorthair Mix,White/Black,0
1316,Dog,Neutered Male,4.3366083263666,Chihuahua Shorthair Mix,Tan/Black,0
1317,Dog,Spayed Female,-0.05412361340279786,Chihuahua Longhair Mix,Tricolor,0
1318,Cat,Spayed Female,-0.6602204354362975,Domestic Shorthair,Cream Tabby/White,0
1319,Cat,Intact Male,-0.39279756281388317,Domestic Shorthair Mix,Orange Tabby/White,0
1320,Cat,Intact Male,-0.713890077692699,Domestic Shorthair Mix,Black,0
1321,Cat,Spayed Female,-0.6361616302868761,Domestic Shorthair Mix,Calico,0
1322,Dog,Spayed Female,-0.04024353350890092,Labrador Retriever Mix,Red/White,0
1323,Cat,Neutered Male,-0.6454150168828074,Domestic Shorthair Mix,Brown Tabby,0
1324,Dog,Neutered Male,0.09207989481291656,Bull Terrier Mix,White,0
1325,Dog,Spayed Female,-0.05782496804117038,American Pit Bull Terrier Mix,Brown Brindle/White,0
1326,Dog,Spayed Female,3.667588475480768,Rhod Ridgeback Mix,Tan/White,0
1327,Cat,Neutered Male,-0.38539485353713815,Domestic Shorthair Mix,Brown Tabby,0
1328,Dog,Spayed Female,-0.3909468854946969,German Shepherd Mix,Red,0
1329,Dog,Spayed Female,-0.39187222415429,Border Collie/Great Pyrenees,White/Black,0
1330,Cat,Spayed Female,-0.05689962938157725,Domestic Shorthair Mix,Orange Tabby,1
1331,Other,Unknown,-0.058750306700763505,Opossum,Black/Gray,1
1332,Dog,Neutered Male,0.28084898136991493,Catahoula Mix,White/Brown Brindle,0
1333,Other,Intact Female,-0.044870226806866566,Guinea Pig Mix,Red/White,0
1334,Other,Unknown,-0.058750306700763505,Bat,Black,1
1335,Dog,Spayed Female,0.238283403028631,Pug Mix,Fawn,0
1336,Cat,Neutered Male,-0.5880440199880335,Domestic Shorthair Mix,Cream Tabby,0
1337,Dog,Intact Female,-0.2169832174911886,Pit Bull Mix,Tricolor,0
1338,Bird,Intact Female,-0.5103155725822106,Chicken Mix,White/Black,0
1339,Other,Unknown,-0.5658358921577983,Rabbit Lh Mix,Gray,0
1340,Cat,Intact Female,-0.39557357879266253,Domestic Shorthair Mix,Black,0
1341,Dog,Spayed Female,-0.20958050821444357,Dutch Shepherd Mix,Brown Brindle/White,0
1342,Dog,Neutered Male,-0.28175692366270766,Pit Bull Mix,Blue/White,0
1343,Dog,Intact Male,-0.31044242211009465,Labrador Retriever/Border Collie,Black/White,0
1344,Dog,Intact Male,-0.6768765313089739,Chihuahua Shorthair/Pomeranian,Black,0
1345,Dog,Spayed Female,-0.5621345375194258,German Shepherd,Black/Brown,0
1346,Dog,Neutered Male,-0.5325237004124457,German Shepherd Mix,Brown/Black,0
1347,Other,Unknown,-0.7333221895441547,Opossum Mix,Pink,0
1348,Dog,Neutered Male,-0.6731751766706013,Chihuahua Shorthair Mix,Black,0
1349,Cat,Unknown,-0.39557357879266253,Domestic Shorthair Mix,Black,1
1350,Cat,Unknown,-0.7203674483098509,Domestic Shorthair Mix,Brown Tabby/White,0
1351,Dog,Spayed Female,0.2864010133274737,Chihuahua Shorthair Mix,Brown,0
1352,Cat,Intact Male,-0.7148154163522922,Domestic Shorthair Mix,Brown Tabby,0
1353,Dog,Neutered Male,-0.2799062463435214,Chihuahua Shorthair Mix,Brown/Black,0
1354,Dog,Neutered Male,-0.037467517530121536,American Bulldog Mix,White/Black,0
1355,Dog,Neutered Male,1.0886696311947166,Labrador Retriever Mix,Black,0
1356,Dog,Neutered Male,-0.4483178823894709,Chihuahua Shorthair/Dachshund,Brown/Tricolor,0
1357,Dog,Neutered Male,0.6260003013981521,Chihuahua Shorthair Mix,Black/Tan,0
1358,Cat,Spayed Female,-0.64911637152118,Domestic Shorthair,Calico,0
1359,Dog,Spayed Female,1.6364701176738492,Miniature Pinscher,Tricolor,0
1360,Dog,Neutered Male,-0.39279756281388317,German Shepherd,Black/Tan,0
1361,Dog,Intact Female,-0.7037113524371745,German Shepherd/Mastiff,Black/Tan,0
1362,Cat,Spayed Female,-0.6518923874999594,Domestic Shorthair Mix,Calico,0
1363,Dog,Neutered Male,-0.3964989174522557,German Shepherd/Australian Shepherd,Tan/White,0
1364,Dog,Neutered Male,2.6478652726091396,Miniature Poodle Mix,White,0
1365,Cat,Spayed Female,-0.39279756281388317,Domestic Shorthair Mix,Brown Tabby,0
1366,Cat,Spayed Female,5.011180209209991,Domestic Medium Hair Mix,Orange Tabby/White,0
1367,Cat,Spayed Female,2.6506412885879187,Domestic Shorthair Mix,Tortie,0
1368,Dog,Intact Female,0.9554208642133061,Shih Tzu Mix,White/Brown,0
1369,Dog,Spayed Female,0.6260003013981521,Dachshund Mix,Red,0
1370,Dog,Spayed Female,-0.6815032246069395,German Shepherd Mix,Black/Brown,0
1371,Dog,Spayed Female,-0.3835441762179519,Finnish Spitz Mix,Sable,0
1372,Dog,Spayed Female,0.6241496240789659,Chihuahua Shorthair Mix,Brown/White,0
1373,Dog,Spayed Female,-0.5103155725822106,Boston Terrier Mix,Black/White,0
1374,Dog,Spayed Female,-0.31969580870602593,Labrador Retriever/Chinese Sharpei,White/Brown,0
1375,Dog,Neutered Male,-0.2262366040871199,Doberman Pinsch Mix,Black/Red,0
1376,Cat,Neutered Male,-0.613953502456641,Domestic Shorthair Mix,Orange Tabby/White,0
1377,Dog,Spayed Female,-0.3789174829199862,Labrador Retriever Mix,Black,0
1378,Dog,Spayed Female,0.6195229307810002,Japanese Chin Mix,White/Black,0
1379,Dog,Neutered Male,-0.42610975455923583,Pit Bull Mix,White/Brown,0
1380,Cat,Neutered Male,-0.585268004009254,Domestic Shorthair Mix,White/Black,0
1381,Dog,Intact Female,0.2854756746678806,Border Collie,White/Black,0
1382,Dog,Neutered Male,-0.007856680423141398,Pointer/Labrador Retriever,White/Brown,0
1383,Dog,Neutered Male,0.28177432002950803,Chihuahua Longhair Mix,Tan,0
1384,Cat,Neutered Male,-0.6657724673938563,Manx Mix,Blue Tabby,0
1385,Cat,Intact Female,-0.39279756281388317,Domestic Shorthair Mix,Torbie,0
1386,Dog,Spayed Female,-0.5889693586476266,Chihuahua Longhair Mix,Black,0
1387,Cat,Intact Male,-0.39464824013306943,Domestic Shorthair Mix,Cream Tabby,0
1388,Cat,Spayed Female,-0.6602204354362975,Domestic Medium Hair Mix,Tortie,0
1389,Cat,Spayed Female,-0.6472656942019936,Domestic Shorthair Mix,Brown Tabby,0
1390,Cat,Intact Male,-0.6944579658412433,Domestic Shorthair Mix,Brown Tabby,0
1391,Dog,Intact Female,-0.5528811509234945,Great Pyrenees,White,0
1392,Cat,Intact Female,-0.6195055344141999,Domestic Shorthair Mix,Black/White,0
1393,Dog,Neutered Male,3.65926042754443,Chihuahua Shorthair,Black/Brown,0
1394,Cat,Neutered Male,-0.6722498380110082,Snowshoe Mix,Lilac Point,0
1395,Dog,Intact Male,-0.048571581445239084,Australian Cattle Dog/Labrador Retriever,Black,0
1396,Cat,Neutered Male,0.2891770293062531,Domestic Shorthair Mix,Brown Tabby,0
1397,Dog,Neutered Male,-0.3909468854946969,Pit Bull Mix,Blue/White,0
1398,Bird,Unknown,-0.6768765313089739,Duck Mix,Black,0
1399,Dog,Neutered Male,-0.4547952530066228,Labrador Retriever/German Shorthair Pointer,Chocolate/White,0
1400,Dog,Spayed Female,-0.4362884798147602,Plott Hound Mix,Brown Brindle/White,0
1401,Dog,Intact Female,1.6309180857162904,Rhod Ridgeback/Labrador Retriever,Black/White,0
1402,Cat,Spayed Female,-0.03931819484930779,Domestic Shorthair,Black,0
1403,Cat,Intact Male,0.04858897781203948,Domestic Shorthair Mix,Gray Tabby,0
1404,Dog,Neutered Male,1.9732933897657483,Chihuahua Shorthair Mix,Tan/White,0
1405,Cat,Neutered Male,-0.677801869968567,Domestic Medium Hair Mix,Black/White,0
1406,Cat,Neutered Male,-0.3789174829199862,Domestic Shorthair Mix,Cream Tabby,0
1407,Cat,Intact Female,-0.39464824013306943,Domestic Shorthair Mix,Brown Tabby,0
1408,Cat,Neutered Male,1.972368051106155,Domestic Shorthair Mix,Cream Tabby/White,0
1409,Dog,Neutered Male,0.6343283493344903,Pit Bull Mix,Brown,0
1410,Dog,Spayed Female,-0.5621345375194258,Labrador Retriever Mix,Black/Brown,0
1411,Dog,Spayed Female,-0.0013793098059894926,Labrador Retriever,Yellow,0
1412,Cat,Intact Male,-0.7240688029482234,Domestic Shorthair,Cream Tabby,0
1413,Dog,Spayed Female,0.682445959633333,German Shepherd Mix,Tan,0
1414,Dog,Spayed Female,0.09207989481291656,Pit Bull Mix,Brown Brindle/White,0
1415,Dog,Spayed Female,-0.6796525472877533,Chihuahua Shorthair Mix,Brown,0
1416,Cat,Intact Female,-0.6907566112028708,Domestic Shorthair Mix,Brown Tabby,1
1417,Dog,Spayed Female,-0.04949692010483221,Schipperke Mix,Black,0
1418,Dog,Spayed Female,2.7968447968036334,Chihuahua Shorthair Mix,Tan,0
1419,Dog,Spayed Female,-0.29748768087579086,Pit Bull Mix,Black,0
1420,Dog,Intact Male,-0.05689962938157725,Pit Bull Mix,Blue/White,0
1421,Dog,Spayed Female,-0.6916819498624639,Chihuahua Shorthair Mix,Tan,0
1422,Dog,Intact Female,-0.656519080797925,Pit Bull Mix,Brown/White,0
1423,Dog,Spayed Female,-0.6602204354362975,Labrador Retriever/Doberman Pinsch,Black,0
1424,Dog,Neutered Male,0.5695546431629712,Shih Tzu Mix,Black/White,0
1425,Dog,Intact Female,-0.22346058810834052,Labrador Retriever Mix,Tan/White,0
1426,Dog,Spayed Female,-0.21605787883159547,Basenji Mix,Red/White,0
1427,Other,Unknown,-0.3964989174522557,Rabbit Sh,Brown,0
1428,Dog,Spayed Female,-0.6741005153301944,Australian Cattle Dog,Blue/Black,0
1429,Dog,Neutered Male,-0.47792871949645105,American Staffordshire Terrier/Labrador Retriever,Brown,0
1430,Cat,Neutered Male,-0.05689962938157725,Domestic Shorthair Mix,Blue/White,0
1431,Dog,Neutered Male,-0.6176548570950136,Dachshund Mix,Tan/White,0
